PRESCRIPTION_CODE,PRACTICE_CODE,BNF_CODE,QUANTITY,ITEMS,ACTUAL_COST
119,P82652,0206020R0BRADAP,28,1,6.65061
120,P82034,0206020T0AAACAC,280,1,4.88069
121,P82034,0206020T0AAAHAH,42,1,7.90061
122,P82034,0206020T0AAAHAH,30,2,11.35082
123,P82034,0206020T0AAAHAH,60,1,11.22907
124,P82034,0206020T0AAAUAU,28,3,21.66282
125,P82034,0206020T0AAAUAU,30,2,15.67033
126,P82034,0206030N0AAAAAA,60,1,2.45264
127,P82034,0206030N0AAABAB,60,1,3.19126
128,P82034,0206030Y0AAAAAA,56,3,21.07379
129,P82034,0206030Y0AAACAC,56,4,82.62523
130,P82034,0206030Z0AAAAAA,56,1,42.8494
131,P82034,0206030Z0AAAAAA,60,1,45.80672
132,P82034,0206030Z0AAABAB,60,1,45.80672
133,P82034,0208020V0AAAAAA,56,5,5.95225
134,P82034,0208020V0AAAAAA,28,1,0.60142
135,P82034,0208020V0AAABAB,28,3,1.94452
136,P82034,0208020V0AAABAB,56,3,3.85184
137,P82034,0208020V0AAABAB,84,1,1.91972
138,P82034,0208020V0AAABAB,112,1,2.55549
139,P82034,0208020V0AAADAD,56,1,1.37744
140,P82034,0208020Y0AAAAAA,30,1,50.50022
141,P82034,0208020Y0AAABAB,28,3,141.40309
142,P82034,0208020Y0AAACAC,84,1,141.37829
143,P82034,0208020Y0AAACAC,56,2,188.51266
144,P82034,0208020Y0AAACAC,28,25,1178.35912
145,P82652,0208020Z0AAAAAA,56,12,598.22702
146,P82652,0208020Z0AAAAAA,14,4,50.18945
147,P82652,0208020Z0AAABAB,28,1,24.98233
148,P82652,0208020Z0AAABAB,168,1,149.23195
149,P82652,0208020Z0AAABAB,56,25,1243.80629
150,P82652,0208020Z0AAABAB,112,2,198.98421
151,P82652,0209000A0AAABAB,7,4,1.08537
152,P82652,0209000A0AAABAB,84,2,3.89553
153,P82652,0209000A0AAABAB,28,74,48.65664
154,P82652,0209000A0AAABAB,56,13,16.93438
155,P82652,0209000A0AAAJAJ,56,3,4.13232
156,P82652,0209000A0AAAJAJ,28,16,11.11873
157,P82652,0209000A0AAAJAJ,7,4,1.12277
158,P82652,0209000A0AAAJAJ,84,1,2.05996
159,P82652,0209000A0AAAKAK,56,1,1.67663
160,P82652,0209000A0AAAKAK,28,7,5.9116
161,P82652,0209000C0AAAAAA,28,37,46.46816
162,P82652,0209000C0AAAAAA,56,9,22.49453
163,P82652,0209000C0AAAAAA,84,1,3.74289
164,P82652,0209000C0AAAAAA,7,12,5.05124
165,P82034,0209000Y0AAABAB,28,1,9.10021
166,P82034,0209000Y0AAABAB,56,1,18.18801
167,P82034,0209000Z0AAAAAA,56,3,153.18359
168,P82034,0209000Z0AAABAB,56,1,51.0612
169,P82034,0212000AAAAAAAA,28,5,4.83029
170,P82034,0212000AAAAAAAA,56,1,1.91972
171,P82034,0212000AAAAAAAA,84,2,5.74675
172,P82034,0212000AAAAABAB,28,2,2.47439
173,P82034,0212000AAAAACAC,56,1,3.35956
174,P82034,0212000AAAAACAC,28,2,3.37196
175,P82034,0212000AAAAADAD,56,3,4.91769
176,P82034,0212000AAAAADAD,28,6,4.95489
177,P82652,0212000ADAAAAAA,180,1,107.83194
178,P82652,0212000ADAAAAAA,336,1,201.37181
179,P82652,0212000B0AAAAAA,84,1,1.83557
180,P82652,0212000B0AAAAAA,28,13,8.06161
181,P82652,0212000B0AAAAAA,56,2,2.4557
182,P82652,0212000B0AAABAB,21,1,0.72947
183,P82652,0212000B0AAABAB,56,35,58.02751
184,P82652,0212000B0AAABAB,7,16,5.08946
185,P82652,0212000B0AAABAB,28,180,150.3296
186,P82652,0212000B0AAABAB,84,15,37.2104
187,P82652,0212000B0AAACAC,28,87,79.16663
188,P82652,0212000B0AAACAC,84,9,24.34575
189,P82652,0212000B0AAACAC,7,8,2.69432
190,P82652,0212000B0AAACAC,56,23,41.57302
191,P82652,0212000B0AAADAD,28,38,48.43463
192,P82652,0212000B0AAADAD,56,7,17.75754
193,P82652,0212000B0AAADAD,7,4,1.72115
194,P82652,0212000B0AAADAD,84,1,3.79899
195,P82034,0212000B0BBAAAA,28,1,12.16688
196,P82652,0212000F0AAABAB,28,1,5.75021
197,P82034,0212000Q0AAABAB,56,1,42.44087
198,P82034,0212000X0AAAAAA,28,3,4.52501
199,P82034,0212000X0AAABAB,28,2,3.39065
200,P82034,0212000Y0AAAAAA,56,1,1.34004
201,P82034,0212000Y0AAAAAA,28,3,2.02866
202,P82034,0212000Y0AAABAB,28,33,23.85799
203,P82034,0212000Y0AAABAB,84,11,23.58519
204,P82034,0212000Y0AAABAB,56,13,18.636
205,P82034,0212000Y0AAADAD,30,1,0.98191
206,P82034,0212000Y0AAADAD,56,20,32.78459
207,P82034,0212000Y0AAADAD,28,29,23.94863
208,P82034,0212000Y0AAADAD,84,4,9.81058
209,P82034,0212000Y0AAAHAH,28,1,1.26525
210,P82034,0301011ABBBAAA0,1,6,249.70862
211,P82034,0301011ABBBAAA0,2,1,83.22381
212,P82034,0301011ABBBABAA,1,2,83.23621
213,P82034,0301011ABBBACAB,1,2,83.23621
214,P82034,0301011E0BCABAC,1,2,46.3988
215,P82034,0301011R0AAAPAP,2,24,67.61469
216,P82034,0301011R0AAAPAP,1,54,76.40133
217,P82034,0301011R0AAAXAX,100,1,38.57948
218,P82034,0301011R0AAAXAX,40,1,15.43923
219,P82034,0301011R0AABDBD,100,1,44.23599
220,P82034,0301011R0AABDBD,90,2,79.82726
221,P82034,0301011R0AABUBU,2,1,11.79289
222,P82034,0301011R0AABUBU,1,2,11.80529
223,P82034,0301011R0AABZBZ,1,1,3.10712
224,P82034,0301011R0BEAHAQ,1,1,1.87297
225,P82034,0301011R0BEAHAQ,2,1,3.73354
226,P82034,0301011R0BEAIAP,2,9,25.35551
227,P82034,0301011R0BEAIAP,3,1,4.21972
228,P82034,0301011R0BEAIAP,1,14,19.80775
229,P82034,0301011R0BIAFAP,1,1,1.37744
230,P82034,0301011R0BIAFAP,2,1,2.74248
231,P82652,0301011R0BMABBU,1,2,11.28171
232,P82034,0301011U0AAAEAE,3,1,98.4917
233,P82034,0301011U0AAAEAE,1,1,32.83883
